Device name,Frame ID,Slot ID,Port ID,User Label,ONTs
HAC-ANT.BARB-B1-MA5800,0,3,1,TRK BA34 (BARBOSA BA34),19
HAC-ANT.BARB-B1-MA5800,0,3,2,TRK BA35 (BARBOSA BA35),13
HAC-ANT.BARB-B1-MA5800,0,3,3,TRK BA36 (BARBOSA BA36),24
HAC-ANT.BARB-B1-MA5800,0,3,4,TRK BA37 (BARBOSA BA37),31
HAC-ANT.BARB-B1-MA5800,0,3,5,TRK BA38 (BARBOSA BA38),31
HAC-ANT.BARB-B1-MA5800,0,3,6,TRK BA39 (BARBOSA BA39),22
HAC-ANT.BARB-B1-MA5800,0,3,7,TRK BA40 (BARBOSA BA40),10
HAC-ANT.BARB-B1-MA5800,0,3,8,TRK BA41 (BARBOSA BA41),8
HAC-ANT.BARB-B1-MA5800,0,3,9,TRK BA42 (BARBOSA BA42),21
HAC-ANT.BARB-B1-MA5800,0,3,10,TRK BA43 (BARBOSA BA43),26
HAC-ANT.BARB-B1-MA5800,0,3,11,TRK BA44 (BARBOSA BA44),13
HAC-ANT.BARB-B1-MA5800,0,3,12,TRK BA45 (BARBOSA BA45),22
HAC-ANT.BARB-B1-MA5800,0,3,13,TRK BA46 (BARBOSA BA46),18
HAC-ANT.BARB-B1-MA5800,0,3,14,TRK BA47 (BARBOSA 47),18
HAC-ANT.BARB-B1-MA5800,0,3,15,TRK BA48 (BARBOSA BA48),14
HAC-ANT.BARB-B1-MA5800,0,4,0,TRK BA49 (BARBOSA BA49),12
HAC-ANT.BARB-B1-MA5800,0,4,1,TRK BA50 (BARBOSA BA50),18
HAC-ANT.BARB-B1-MA5800,0,4,2,TRK BA51 (BARBOSA BA51),24
HAC-ANT.BARB-B1-MA5800,0,4,3,TRK BA52 (BARBOSA BA52),16
HAC-ANT.BARB-B1-MA5800,0,4,4,TRK BA53 (BARBOSA BA53),28
HAC-ANT.BARB-B1-MA5800,0,4,5,TRK BA54 (BARBOSA BA54),30
HAC-ANT.BARB-B1-MA5800,0,4,6,TRK BA55 (BARBOSA BA55),16
